town,road_id,lane_id,entry_s_m,R_m,direction,R_spread,curve_m,heading_deg,lead_in_m,lane_width_m,lanes_left,lanes_right,junction,x,y,v_ay85_kmh,ay_at_130
Town12,19851,-2,0.0,101.1,left,0.0,1180.0,-668.9,0.0,3.5,0,2,True,-820.5,3195.7,57.8,12.9
Town12,10982,-2,0.7,275.5,right,0.16,228.0,47.4,500.0,3.5,0,1,True,3829.6,5332.5,95.4,4.73
Town12,1033,1,311.6,44.6,left,0.166,52.0,-66.8,170.0,3.0,0,0,False,2326.1,3974.2,38.4,29.25
Town12,1138,1,191.6,95.4,right,0.16,132.0,79.3,500.0,2.75,0,0,False,2388.9,1696.2,56.1,13.67
Town12,992,-1,54.5,41.6,right,0.161,48.0,66.2,162.0,2.75,0,0,False,91.9,4022.7,37.1,31.38
Town12,797,-3,177.4,1144.9,right,0.123,652.0,32.6,286.0,3.5,1,1,False,-2506.4,4555.4,130.0,1.14
Town12,797,-2,177.4,1144.9,right,0.123,652.0,32.6,286.0,3.5,0,2,False,-2509.9,4555.8,130.0,1.14
Town12,19745,-4,0.0,257.4,right,0.084,96.0,21.4,0.0,3.5,0,0,True,-2492.0,5036.5,92.2,5.07
Town12,19745,-2,2.1,253.2,right,0.001,94.0,21.3,0.0,3.5,0,0,True,-2491.7,5034.4,91.5,5.15
Town12,280,1,314.2,264.9,left,0.168,222.0,-48.0,0.0,3.0,0,0,False,-3331.1,2232.6,93.6,4.92
Town12,366,1,62.3,253.7,left,0.167,402.0,-90.8,204.0,3.5,0,0,False,-3502.3,1853.3,91.6,5.14
Town12,1166,1,1869.3,410.0,right,0.0,230.0,32.1,0.0,3.5,0,0,False,3310.0,-1731.9,116.4,3.18
Town12,536,-1,61.0,250.1,right,0.121,138.0,31.6,0.0,2.75,0,0,False,429.5,5871.4,90.9,5.21
Town12,241,1,314.6,87.3,right,0.149,84.0,55.2,500.0,3.25,0,1,False,-22.7,5580.7,53.7,14.94
Town12,241,2,314.8,87.5,right,0.163,84.0,55.0,500.0,3.25,1,0,False,-22.5,5577.4,53.8,14.9
Town12,196,-1,230.0,49.3,right,0.167,62.0,72.0,230.0,2.75,0,0,False,3432.2,-489.2,40.4,26.43
Town12,916,1,227.9,58.8,left,0.163,76.0,-74.0,500.0,2.75,0,0,False,1985.6,1779.0,44.1,22.17
Town12,545,-1,1.8,419.5,left,0.0,216.0,-29.5,0.0,2.75,0,0,False,-565.7,6106.7,117.7,3.11
Town12,17323,-2,10.7,73.5,right,0.162,80.0,62.3,500.0,3.25,0,0,True,-823.0,6398.6,49.3,17.73
Town12,362,-1,396.6,401.2,left,0.13,368.0,-52.6,0.0,3.5,0,0,False,-3379.9,1079.8,115.1,3.25
Town12,360,1,435.2,500.5,left,0.019,348.0,-39.8,120.0,3.5,0,0,False,-3536.6,30.0,128.6,2.61
Town12,208,-1,171.2,45.7,left,0.163,56.0,-70.2,410.0,2.75,0,0,False,-315.6,5056.4,38.9,28.51
Town12,681,1,23.6,521.7,right,0.163,70.0,7.7,444.0,3.25,0,1,False,787.4,4543.5,130.0,2.5
Town12,701,-3,21.5,345.3,right,0.165,314.0,52.1,210.0,3.5,1,0,False,3529.8,5910.3,106.8,3.78
Town12,701,-2,21.6,345.2,right,0.158,314.0,52.1,210.0,3.5,0,1,False,3533.2,5910.9,106.8,3.78
Town12,19399,-4,0.0,100.2,left,0.0,202.0,-115.5,0.0,3.5,2,0,True,2610.2,3190.6,57.6,13.01
Town12,19399,-3,0.0,100.2,left,0.0,1180.0,-674.6,0.0,3.5,1,1,True,2608.0,3187.8,57.6,13.01
Town12,19399,-2,0.0,100.2,left,0.0,1180.0,-674.6,0.0,3.5,0,2,True,2605.9,3185.0,57.6,13.01
Town12,162,-3,207.2,301.5,left,0.038,88.0,-16.7,4.0,3.5,1,0,False,2022.2,6049.1,99.8,4.32
Town12,560,-1,45.1,56.2,left,0.158,48.0,-48.9,360.0,2.75,0,0,False,-1228.4,5664.2,43.1,23.18
Town12,634,-1,105.6,502.7,left,0.03,110.0,-12.5,500.0,2.75,0,0,False,673.2,5289.4,128.9,2.59
Town12,679,-1,68.4,521.8,left,0.165,70.0,-7.7,500.0,3.25,0,1,False,790.9,4454.6,130.0,2.5
Town12,966,-1,251.4,43.0,left,0.148,50.0,-66.5,500.0,3.0,0,0,False,1923.1,4326.9,37.7,30.29
Town12,746,-2,0.0,274.3,left,0.062,78.0,-16.3,500.0,3.25,1,0,False,923.7,4276.1,95.2,4.75
Town12,1138,1,188.4,93.4,right,0.001,128.0,78.6,0.0,2.75,0,0,False,2388.9,1693.0,55.5,13.97
Town12,1043,1,144.4,62.8,right,0.169,82.0,74.8,500.0,2.75,0,0,False,1845.9,2642.2,45.6,20.77
Town12,679,-2,68.4,521.8,left,0.165,70.0,-7.7,500.0,3.25,1,0,False,787.7,4454.0,130.0,2.5
Town12,679,-1,72.2,500.0,left,0.0,64.0,-7.3,0.0,3.25,0,1,False,790.3,4458.2,128.5,2.61
Town12,779,-1,47.5,60.6,left,0.162,78.0,-73.7,500.0,2.75,0,0,False,2891.3,2583.7,44.8,21.51
Town12,929,1,299.0,42.2,left,0.159,50.0,-67.8,176.0,2.75,0,0,False,-1379.0,5139.6,37.4,30.87
Town12,935,2,110.2,399.5,left,0.0,130.0,-18.6,0.0,3.25,1,0,False,2584.7,4327.2,114.9,3.26
Town12,935,1,113.5,412.4,left,0.168,94.0,-13.1,500.0,3.25,0,1,False,2581.0,4329.8,116.7,3.16
Town12,935,2,113.5,410.7,left,0.169,108.0,-15.1,500.0,3.25,1,0,False,2584.2,4330.4,116.5,3.18
Town12,84,-1,127.5,61.5,right,0.165,54.0,50.3,500.0,3.0,0,0,False,987.5,4854.3,45.1,21.19
Town12,10833,-1,11.5,419.5,right,0.0,210.0,28.7,0.0,2.75,0,0,True,-617.6,6237.1,117.7,3.11
Town12,731,1,189.5,474.1,right,0.0,164.0,19.8,64.0,2.75,0,0,False,-691.0,6121.8,125.2,2.75
Town12,731,1,192.6,482.4,right,0.168,170.0,20.2,62.0,2.75,0,0,False,-692.2,6124.7,126.3,2.7
Town12,196,1,309.7,49.2,left,0.15,60.0,-69.9,334.0,2.75,0,0,False,3484.0,-441.2,40.3,26.51
Town12,361,1,220.9,502.7,right,0.154,504.0,57.4,172.0,3.5,0,0,False,-3499.2,613.7,128.9,2.59
Town12,18863,-1,0.0,419.5,left,0.0,318.0,-43.4,0.0,2.75,0,0,True,-500.8,6027.7,117.7,3.11
Town12,731,-1,6.2,474.9,left,0.014,166.0,-20.0,82.0,2.75,0,0,False,-591.0,5969.4,125.3,2.75
Town12,381,1,216.4,42.0,left,0.148,48.0,-65.5,182.0,3.0,0,0,False,1555.4,3723.3,37.2,31.07
Town12,13680,-1,24.4,407.0,right,0.096,96.0,13.5,4.0,3.25,0,0,True,2577.6,4215.3,116.0,3.2
Town12,620,2,30.5,241.1,right,0.126,86.0,20.4,0.0,3.4,0,0,False,1029.7,3125.4,89.3,5.41
Town12,782,1,133.4,54.6,right,0.0,68.0,71.4,500.0,2.75,0,0,False,3710.7,2586.8,42.5,23.89
Town12,986,-1,47.7,52.7,right,0.159,66.0,71.7,500.0,3.0,0,0,False,2838.4,4182.0,41.7,24.73
Town12,18,1,134.4,53.2,left,0.163,66.0,-71.1,500.0,3.0,0,0,False,2119.7,4357.7,41.9,24.53
Town12,986,1,132.2,52.8,left,0.161,66.0,-71.7,500.0,3.0,0,0,False,2898.1,4136.5,41.8,24.72
Town12,560,1,112.4,56.2,right,0.158,48.0,48.9,284.0,2.75,0,0,False,-1196.0,5610.2,43.1,23.19
Town12,701,-2,23.7,345.6,right,0.032,62.0,10.3,212.0,3.5,0,1,False,3532.9,5913.0,106.9,3.77
Town12,18465,-1,0.0,251.8,right,0.0,232.0,52.8,0.0,3.5,0,0,True,-3346.5,1666.7,91.2,5.18
Town12,18451,-3,0.0,100.2,left,0.0,1180.0,-674.6,0.0,3.5,1,1,True,2484.3,3017.1,57.6,13.01
Town12,18451,-2,0.0,100.2,left,0.0,1180.0,-674.6,0.0,3.5,0,2,True,2486.2,3020.0,57.6,13.01
Town12,1155,-1,309.2,456.0,left,0.173,202.0,-25.4,500.0,3.5,0,0,False,-3007.8,3750.2,122.8,2.86
Town12,1152,1,959.5,2007.3,left,0.116,568.0,-16.2,500.0,3.5,0,0,False,-3348.6,2890.0,130.0,0.65
Town12,470,-1,13.0,390.5,left,0.004,150.0,-22.0,0.0,3.0,0,0,False,-2893.2,3082.6,113.6,3.34
Town12,779,1,144.8,60.5,right,0.154,78.0,73.8,500.0,2.75,0,0,False,2954.0,2643.2,44.7,21.55
Town12,1157,-4,634.0,410.7,right,0.0,500.0,69.8,0.0,3.5,2,0,False,3775.2,5970.7,116.5,3.18
Town12,1157,-3,634.0,410.7,right,0.0,500.0,69.8,0.0,3.5,1,1,False,3778.6,5971.3,116.5,3.18
Town12,1157,-2,634.0,410.7,right,0.0,500.0,69.8,0.0,3.5,0,2,False,3782.1,5971.9,116.5,3.18
Town12,738,-3,51.1,1184.9,right,0.0,652.0,31.5,0.0,3.5,2,0,False,-2297.7,3733.0,130.0,1.1
Town12,738,-2,51.1,1184.9,right,0.0,652.0,31.5,0.0,3.5,1,1,False,-2300.8,3731.4,130.0,1.1
Town12,738,-1,51.1,1184.9,right,0.0,652.0,31.5,0.0,3.5,0,2,False,-2303.9,3729.8,130.0,1.1
Town12,942,1,35.3,253.2,left,0.15,76.0,-17.2,0.0,3.25,0,1,False,2427.6,5155.1,91.5,5.15
Town12,942,2,35.5,254.2,left,0.168,76.0,-17.1,0.0,3.25,1,0,False,2430.4,5156.8,91.7,5.13
Town12,1018,2,518.5,137.2,right,0.101,92.0,38.4,500.0,3.25,1,0,False,-1151.3,4842.8,67.3,9.51
Town12,808,-1,16.2,71.6,right,0.031,102.0,81.6,140.0,2.75,0,0,False,-1302.2,3258.1,48.7,18.2
Town12,582,1,408.5,250.8,left,0.158,174.0,-39.8,26.0,2.75,0,0,False,-1560.3,3663.7,91.0,5.2
Town12,17998,-4,0.0,101.1,left,0.0,52.0,-29.5,0.0,3.5,2,0,True,-924.9,3148.2,57.8,12.9
Town12,17998,-3,0.0,101.1,left,0.0,1180.0,-668.9,0.0,3.5,1,1,True,-921.9,3146.5,57.8,12.9
Town12,17998,-2,0.0,101.1,left,0.0,1180.0,-668.9,0.0,3.5,0,2,True,-918.9,3144.7,57.8,12.9
Town12,17963,2,77.9,244.7,right,0.001,58.0,13.6,0.0,3.45,0,0,True,1057.9,3114.4,89.9,5.33
Town12,2365,2,67.4,191.5,right,0.0,86.0,25.7,0.0,3.5,0,0,True,924.0,3078.5,79.6,6.81
Town12,17953,-4,0.0,101.1,left,0.0,200.0,-113.4,0.0,3.5,2,0,True,-895.1,3004.9,57.8,12.9
Town12,17953,-3,0.0,101.1,left,0.0,1180.0,-668.9,0.0,3.5,1,1,True,-893.0,3007.7,57.8,12.9
Town12,17953,-2,0.0,101.1,left,0.0,1180.0,-668.9,0.0,3.5,0,2,True,-890.9,3010.6,57.8,12.9
Town12,167,-2,122.7,380.0,left,0.165,240.0,-36.2,134.0,3.5,0,1,False,661.1,6029.3,112.1,3.43
Town12,17908,-4,0.0,199.1,right,0.061,120.0,34.5,0.0,3.5,0,0,True,4092.1,3297.4,81.1,6.55
Town12,17908,-3,2.1,197.1,right,0.0,116.0,33.7,0.0,3.5,0,0,True,4093.2,3299.1,80.7,6.62
Town12,652,2,32.0,86.3,right,0.027,52.0,34.5,0.0,3.5,0,0,False,4057.3,4077.9,53.4,15.12
Town12,699,-3,136.8,274.0,left,0.126,228.0,-47.7,0.0,3.5,1,0,False,3695.9,5523.7,95.2,4.76
Town12,870,2,20.8,342.7,right,0.158,78.0,13.0,4.0,3.39,0,0,False,-879.4,6469.8,106.4,3.81
Town12,3244,-1,21.2,352.3,left,0.091,120.0,-19.5,0.0,3.25,0,0,True,796.2,4733.3,107.9,3.7
Town12,327,1,2.7,76.9,right,0.155,104.0,77.5,180.0,2.75,0,0,False,464.3,4919.6,50.4,16.96
Town12,14144,2,12.0,278.3,right,0.132,82.0,16.9,0.0,3.25,1,0,True,825.7,4287.4,95.9,4.69
Town12,530,1,828.2,47.9,left,0.167,58.0,-69.4,500.0,2.75,0,0,False,3187.6,-1409.1,39.8,27.24
Town12,67,1,318.8,413.3,left,0.0,110.0,-15.2,16.0,2.75,0,0,False,-1304.6,3578.3,116.9,3.16
Town12,17643,1,3.3,101.9,right,0.0,40.0,22.5,0.0,2.75,0,0,True,-1572.0,3772.6,58.0,12.8
Town12,308,1,374.5,308.1,left,0.168,158.0,-29.4,82.0,2.75,0,0,False,-1434.9,3634.4,100.9,4.23
Town12,1135,-1,56.8,39.4,right,0.162,44.0,64.0,380.0,2.75,0,0,False,-111.5,3981.3,36.1,33.12
Town12,17551,1,7.1,83.6,right,0.167,130.0,89.1,36.0,2.75,0,0,True,-1129.4,3673.8,52.6,15.6
Town12,809,-1,141.8,130.9,left,0.141,100.0,-43.8,0.0,2.75,0,0,False,-994.7,3722.5,65.8,9.96
Town12,634,-1,103.3,509.6,left,0.172,158.0,-17.8,500.0,2.75,0,0,False,675.6,5289.4,129.8,2.56
Town12,84,1,200.9,61.5,left,0.164,54.0,-50.3,142.0,3.0,0,0,False,1023.1,4795.5,45.1,21.2
Town12,943,2,14.4,172.3,right,0.154,74.0,24.6,500.0,3.25,1,0,False,2408.6,5241.2,75.5,7.57
Town12,809,1,144.4,131.1,left,0.147,100.0,-43.7,0.0,2.75,0,0,False,-991.0,3722.7,65.8,9.95
Town12,19931,1,6.3,229.3,left,0.166,176.0,-44.0,438.0,3.5,0,0,True,2539.9,1498.2,87.0,5.69
Town12,167,-3,122.6,380.7,left,0.172,212.0,-31.9,134.0,3.5,1,0,False,661.4,6025.9,112.2,3.42
Town12,343,-1,117.7,109.1,left,0.151,134.0,-70.4,120.0,2.75,0,0,False,-621.1,4834.8,60.0,11.95
Town12,1033,-1,241.1,44.5,right,0.157,52.0,67.0,500.0,3.0,0,0,False,2287.2,3925.1,38.3,29.33
Town12,942,-1,33.3,169.7,left,0.088,74.0,-25.0,0.0,3.25,0,1,False,2425.9,5151.7,74.9,7.68
Town12,10982,-3,0.8,275.4,right,0.159,228.0,47.4,500.0,3.5,1,0,True,3826.1,5331.9,95.4,4.73
Town12,701,-3,25.0,342.2,right,0.0,302.0,50.6,0.0,3.5,1,0,False,3529.2,5913.7,106.3,3.81
Town12,701,-2,24.9,342.2,right,0.0,294.0,49.2,0.0,3.5,0,1,False,3532.7,5914.2,106.3,3.81
Town12,602,2,95.2,460.4,right,0.059,94.0,11.7,326.0,3.25,1,0,False,684.1,5024.0,123.4,2.83
Town12,602,1,93.5,454.9,right,0.0,74.0,9.3,0.0,3.25,0,1,False,684.7,5020.4,122.6,2.87
Town12,634,1,279.5,509.6,right,0.172,158.0,17.8,140.0,2.75,0,0,False,503.7,5324.2,129.8,2.56
Town12,16495,-4,0.0,101.1,left,0.0,90.0,-51.0,0.0,3.5,2,0,True,-870.0,3195.5,57.8,12.9
Town12,16495,-3,0.0,101.1,left,0.0,1180.0,-668.9,0.0,3.5,1,1,True,-868.7,3192.3,57.8,12.9
Town12,16495,-2,0.0,101.1,left,0.0,1180.0,-668.9,0.0,3.5,0,2,True,-867.4,3189.0,57.8,12.9
Town12,612,-2,18.2,275.2,right,0.165,68.0,14.2,0.0,3.5,0,0,False,1181.7,6048.3,95.4,4.74
Town12,934,2,335.4,400.4,right,0.131,302.0,43.2,0.0,3.25,1,0,False,2513.4,4024.8,115.0,3.26
Town12,924,-4,57.4,411.3,right,0.105,390.0,54.3,0.0,3.5,2,0,False,3753.6,3113.5,116.6,3.17
Town12,924,-3,57.4,429.2,right,0.101,722.0,96.4,0.0,3.5,1,1,False,3753.6,3110.0,119.1,3.04
Town12,924,-2,57.4,429.2,right,0.101,722.0,96.4,0.0,3.5,0,2,False,3753.6,3106.5,119.1,3.04
Town12,642,-1,127.4,248.9,left,0.157,118.0,-27.2,0.0,2.75,0,0,False,181.7,5714.3,90.7,5.24
Town12,10167,1,2.1,419.5,left,0.0,442.0,-60.4,0.0,2.75,0,0,True,-399.7,5956.6,117.7,3.11
Town12,782,-1,44.9,56.9,left,0.168,72.0,-72.4,500.0,2.75,0,0,False,3654.8,2642.8,43.4,22.9
Town12,746,-1,0.6,272.2,left,0.031,78.0,-16.4,500.0,3.25,0,1,False,922.6,4279.2,94.9,4.79
Town12,381,-1,148.9,42.1,right,0.166,50.0,68.0,500.0,3.0,0,0,False,1518.3,3676.3,37.3,30.96
Town12,167,-3,122.7,380.0,left,0.165,240.0,-36.2,134.0,3.5,1,0,False,661.3,6025.8,112.1,3.43
Town12,373,-2,46.8,177.7,left,0.164,104.0,-33.5,20.0,3.5,0,0,False,572.5,6054.7,76.6,7.34
Town12,1138,-1,40.0,95.3,left,0.155,132.0,-79.3,40.0,2.75,0,0,False,2483.2,1598.8,56.1,13.68
Town12,94,-1,198.8,784.5,right,0.161,76.0,5.6,0.0,3.5,0,0,False,2163.0,-92.1,130.0,1.66
Town12,18870,-1,11.2,419.5,right,0.0,106.0,14.5,0.0,2.75,0,0,True,-500.4,6031.2,117.7,3.11
Town12,1018,1,518.6,137.4,right,0.11,92.0,38.4,500.0,3.25,0,1,False,-1148.8,4845.0,67.4,9.49
Town12,18061,-1,4.8,110.6,right,0.227,66.0,34.2,500.0,3.25,0,0,True,-621.0,4330.6,60.5,11.79
Town12,162,-3,107.8,500.0,right,0.0,78.0,8.9,500.0,3.5,1,0,False,2117.3,6073.9,128.5,2.61
Town12,360,-1,533.9,502.7,left,0.157,504.0,-57.4,118.0,3.5,0,0,False,-3575.5,120.7,128.9,2.59
Town12,18,-1,49.8,53.1,right,0.157,66.0,71.2,58.0,3.0,0,0,False,2059.4,4402.8,41.9,24.57
Town12,304,-1,138.0,520.3,right,0.167,76.0,8.4,500.0,3.25,0,1,False,2352.1,4993.4,130.0,2.51
Town12,264,1,61.2,550.7,left,0.183,68.0,-7.1,500.0,3.25,0,1,False,853.4,3919.5,130.0,2.37
Town12,862,-1,164.0,396.6,right,0.172,250.0,36.1,10.0,3.0,0,0,False,-3727.5,998.1,114.5,3.29
Town12,642,1,130.2,241.9,left,0.158,118.0,-28.0,0.0,2.75,0,0,False,182.6,5718.1,89.4,5.39
Town12,1040,1,196.7,241.2,left,0.083,132.0,-31.4,4.0,2.75,0,0,False,384.4,5781.2,89.3,5.41
Town12,346,-1,0.6,328.0,right,0.0,144.0,25.2,0.0,2.75,0,0,False,-287.8,5089.0,104.1,3.98
Town12,3316,1,0.2,328.3,right,0.008,146.0,25.5,0.0,2.75,0,0,True,-288.4,5089.5,104.2,3.97
Town12,746,-1,0.9,271.2,left,0.013,66.0,-13.9,500.0,3.25,0,1,False,922.2,4279.1,94.7,4.81
Town12,642,1,265.0,249.1,right,0.161,118.0,27.1,252.0,2.75,0,0,False,147.9,5845.8,90.7,5.24
Town12,308,-1,201.7,302.4,right,0.0,152.0,28.8,32.0,2.75,0,0,False,-1430.0,3464.0,100.0,4.31
Town12,15095,-3,0.0,375.4,left,0.0,142.0,-21.7,0.0,3.5,1,0,True,565.3,6031.6,111.4,3.47
Town12,15095,-2,0.0,375.4,left,0.0,142.0,-21.7,0.0,3.5,0,1,True,565.9,6035.0,111.4,3.47
Town12,345,-1,588.8,331.5,right,0.165,274.0,47.4,86.0,2.75,0,0,False,-316.9,5120.2,104.7,3.93
Town12,15062,1,19.2,108.8,right,0.154,154.0,81.1,198.0,2.75,0,0,True,-729.4,4945.4,60.0,11.98
Town12,15009,1,2.7,106.9,right,0.0,136.0,72.9,0.0,2.75,0,0,True,-728.5,4929.1,59.4,12.2
Town12,80,1,154.5,82.8,left,0.16,114.0,-78.9,432.0,2.75,0,0,False,-259.4,4951.5,52.3,15.75
Town12,345,-1,591.4,328.3,right,0.009,210.0,36.7,88.0,2.75,0,0,False,-315.2,5118.1,104.2,3.97
Town12,14988,-1,16.0,106.9,right,0.0,136.0,72.9,0.0,2.75,0,0,True,-728.7,4930.4,59.4,12.2
Town12,574,1,1403.9,350.0,right,0.108,250.0,40.9,0.0,3.0,0,0,False,-3643.1,1713.0,107.5,3.73
Town12,699,-3,137.2,273.0,left,0.076,226.0,-47.4,0.0,3.5,1,0,False,3695.6,5523.9,95.0,4.78
Town12,699,-2,136.7,274.3,left,0.142,228.0,-47.6,0.0,3.5,0,1,False,3697.8,5526.6,95.2,4.75
Town12,222,-1,524.3,154.4,left,0.147,136.0,-50.5,0.0,3.0,0,0,False,-3154.8,869.2,71.4,8.45
Town12,782,-1,47.6,54.8,left,0.015,68.0,-71.1,500.0,2.75,0,0,False,3657.4,2642.8,42.6,23.78
Town12,8364,-1,6.9,467.2,left,0.141,96.0,-11.8,0.0,3.25,0,1,True,794.6,4997.2,124.3,2.79
Town12,8364,-2,7.1,466.6,left,0.134,96.0,-11.8,0.0,3.25,1,0,True,794.2,4993.9,124.2,2.79
