town,road_id,lane_id,entry_s_m,R_m,direction,R_spread,curve_m,heading_deg,lead_in_m,lane_width_m,lanes_left,lanes_right,junction,x,y,v_ay85_kmh,ay_at_130
Town06,20,4,173.8,41.1,right,0.073,108.0,150.4,0.0,3.5,1,2,False,-275.6,142.0,36.9,31.69
Town06,20,5,177.1,42.3,right,0.166,114.0,154.4,252.0,3.5,2,1,False,-272.2,138.5,37.4,30.83
Town06,20,6,176.9,42.2,right,0.154,114.0,154.7,252.0,3.5,3,0,False,-272.4,135.0,37.4,30.88
Town06,4,6,65.1,44.3,left,0.162,38.0,-49.1,0.0,3.5,3,1,False,660.6,15.4,38.3,29.44
Town06,5,4,5.2,155.2,left,0.145,36.0,-13.3,128.0,3.5,1,3,False,662.4,70.7,71.6,8.4
Town06,64,-4,27.3,17.1,left,0.12,48.0,-160.4,0.0,3.5,1,1,False,-13.0,387.3,23.8,76.06
Town06,64,-5,27.3,17.1,left,0.12,48.0,-160.4,0.0,3.5,2,0,False,-16.2,385.9,23.8,76.06
Town06,64,-5,27.7,17.0,left,0.13,48.0,-161.6,0.0,3.5,2,0,False,-16.3,386.3,23.7,76.64
Town06,64,-3,26.9,17.3,left,0.143,48.0,-159.2,0.0,3.5,0,2,False,-9.6,388.3,23.9,75.49
Town06,4,5,64.6,44.0,left,0.138,36.0,-46.9,0.0,3.5,2,2,False,657.1,16.0,38.1,29.65
Town06,4,4,65.1,44.3,left,0.162,38.0,-49.1,0.0,3.5,1,3,False,654.0,17.7,38.3,29.43
Town06,4,6,64.4,43.9,left,0.134,36.0,-47.0,0.0,3.5,3,1,False,660.4,14.7,38.1,29.72
Town06,10,-3,9.1,16.0,left,0.16,42.0,-150.5,12.0,3.5,0,2,False,8.7,-130.4,23.0,81.56
Town06,4,7,65.1,44.3,left,0.16,38.0,-49.2,0.0,3.5,4,0,False,663.9,14.2,38.3,29.46
Town06,4,3,65.1,44.3,left,0.161,38.0,-49.2,0.0,3.5,0,4,False,650.7,18.9,38.3,29.44
Town06,8,-3,0.0,216.2,left,0.0,36.0,-9.5,6.0,3.5,0,0,False,125.2,121.5,84.5,6.03
Town06,445,-3,8.2,42.1,left,0.156,46.0,-62.6,100.0,3.5,0,0,True,-114.1,236.4,37.3,30.99
Town06,269,3,39.4,143.6,left,0.0,32.0,-12.8,0.0,3.5,0,4,True,658.9,65.5,68.9,9.08
